sao tome and principe	1975	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\sao tome and principe.png
saudi arabia	9999	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\saudi arabia.png
senegal	1960	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\senegal.png
serbia	2006	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\serbia.png
seychelles	1996	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\seychelles.png
sierra leone	1961	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\sierra leone.png
singapore	1959	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\singapore.png
slovakia	1993	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\slovakia.png
slovenia	1993	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\slovenia.png
somalia	1954	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\somalia.png
solomon islands	1977	C:\\Users\\hornu\\OneDrive\\Documents\\repos\\flags\\data\\clean-data\\images\\solomon islands.png
south africa	1994	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\south africa.png
south korea	1950	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\south korea.png
south sudan	2011	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\south sudan.png
spain	9999	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\spain.png
sri lanka	1972	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\sri lanka.png
sudan	1970	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\sudan.png
suriname	1975	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\suriname.png
swaziland	1968	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\swaziland.png
sweden	1906	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\sweden.png
switzerland	9999	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\switzerland.png
syria	1980	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\syria.png
tajikistan	1992	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\tajikistan.png
tanzania	1964	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\tanzania.png
thailand	1939	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\thailand.png
timor leste	2002	C:\\Users\\hornu\\OneDrive\\Documents\\repos\\flags\\data\\clean-data\\images\\east timor.png
togo	1960	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\togo.png
tonga	1970	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\tonga.png
trinidad and tobago	1962	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\trinidad and tobago.png
tunisia	1956	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\tunisia.png
turkey	1793	C:\Users\hornu\OneDrive\Documents\repos\flags\data\clean-data\images\turkey.png
